iter	Passed	Remaining
722	1148	439
723	1149	438
724	1150	436
725	1150	434
726	1151	432
727	1152	430
728	1153	428
729	1154	426
730	1155	425
731	1157	423
732	1158	421
733	1159	420
734	1159	418
735	1160	416
736	1161	414
737	1162	412
738	1163	410
739	1164	408
740	1164	407
741	1165	405
742	1166	403
743	1168	401
744	1169	400
745	1171	398
746	1171	396
747	1172	395
748	1173	393
749	1174	391
750	1175	389
751	1176	387
752	1176	386
753	1177	384
754	1178	382
755	1179	380
756	1180	378
757	1182	377
758	1183	375
759	1184	374
760	1185	372
761	1186	370
762	1187	368
763	1188	366
764	1188	365
765	1189	363
766	1190	361
767	1191	359
768	1192	358
769	1193	356
770	1195	355
771	1196	353
772	1197	351
773	1198	349
774	1199	348
775	1200	346
776	1201	344
777	1202	342
778	1202	341
779	1203	339
780	1204	337
781	1205	336
782	1206	334
783	1208	332
784	1209	331
785	1210	329
786	1211	327
787	1212	326
788	1213	324
789	1214	322
790	1215	321
791	1216	319
792	1216	317
793	1217	315
794	1218	314
795	1219	312
796	1221	311
797	1222	309
798	1223	307
799	1224	306
800	1225	304
801	1226	302
802	1227	301
803	1228	299
804	1229	297
805	1229	296
806	1230	294
807	1231	292
808	1232	291
809	1234	289
810	1235	287
811	1236	286
812	1236	284
813	1237	282
814	1238	281
815	1239	279
816	1240	277
817	1241	276
818	1241	274
819	1242	272
820	1243	271
821	1244	269
822	1246	267
823	1247	266
824	1248	264
825	1249	263
826	1250	261
827	1251	259
828	1251	258
829	1252	256
830	1253	254
831	1254	253
832	1255	251
833	1255	249
834	1256	248
835	1257	246
836	1259	245
837	1260	243
838	1261	242
839	1262	240
840	1263	238
841	1265	237
842	1266	235
843	1268	234
844	1269	232
845	1270	231
846	1275	230
847	1277	229
848	1279	227
849	1280	225
850	1281	224
851	1283	222
852	1284	221
853	1288	220
854	1289	218
855	1291	217
856	1292	215
857	1293	214
858	1295	212
859	1296	211
860	1300	209
861	1302	208
862	1303	206
863	1305	205
864	1306	203
865	1307	202
866	1309	200
867	1310	199
868	1311	197
869	1314	196
870	1315	194
871	1317	193
872	1318	191
873	1320	190
874	1321	188
875	1322	187
876	1325	185
877	1326	184
878	1328	182
879	1329	181
880	1331	179
881	1333	178
882	1334	176
883	1338	175
884	1340	174
885	1342	172
886	1343	171
887	1345	169
888	1347	168
889	1348	166
890	1352	165
891	1354	163
892	1355	162
893	1357	160
894	1358	159
895	1360	157
896	1361	156
897	1362	154
898	1367	153
899	1369	152
900	1370	150
901	1372	149
902	1373	147
903	1375	146
904	1376	144
905	1379	143
906	1381	141
907	1382	140
908	1385	138
909	1386	137
910	1390	135
911	1392	134
912	1394	132
913	1395	131
914	1397	129
915	1398	128
916	1399	126
917	1401	125
918	1404	123
919	1406	122
920	1407	120
921	1409	119
922	1411	117
923	1412	116
924	1413	114
925	1417	113
926	1419	111
927	1420	110
928	1422	108
929	1423	107
930	1424	105
931	1426	104
932	1427	102
933	1431	101
934	1432	99
935	1434	98
936	1435	96
937	1437	94
938	1438	93
939	1440	91
940	1445	90
941	1448	89
942	1449	87
943	1451	86
944	1452	84
945	1454	83
946	1457	81
947	1460	80
948	1461	78
949	1463	77
950	1464	75
951	1466	73
952	1471	72
953	1472	71
954	1474	69
955	1476	67
956	1477	66
957	1479	64
958	1485	63
959	1486	61
960	1533	62
961	1534	60
962	1536	59
963	1537	57
964	1539	55
965	1540	54
966	1542	52
967	1545	51
968	1550	49
969	1553	48
970	1556	46
971	1559	44
972	1561	43
973	1562	41
974	1563	40
975	1565	38
976	1566	36
977	1567	35
978	1569	33
979	1572	32
980	1573	30
981	1575	28
982	1576	27
983	1577	25
984	1578	24
985	1580	22
986	1581	20
987	1583	19
988	1585	17
989	1586	16
990	1588	14
991	1589	12
992	1590	11
993	1592	9
994	1593	8
995	1594	6
996	1595	4
997	1598	3
998	1599	1
999	1601	0
