iter	Passed	Remaining
688	842	380
689	843	379
690	844	377
691	845	376
692	846	375
693	847	373
694	848	372
695	849	370
696	850	369
697	851	368
698	852	366
699	852	365
700	853	364
701	854	362
702	855	361
703	856	360
704	857	358
705	858	357
706	859	356
707	860	354
708	861	353
709	862	352
710	863	350
711	864	349
712	864	348
713	865	346
714	866	345
715	867	344
716	868	342
717	869	341
718	870	340
719	871	339
720	872	337
721	873	336
722	875	335
723	875	333
724	876	332
725	877	331
726	878	329
727	879	328
728	880	327
729	881	325
730	882	324
731	883	323
732	884	322
733	885	320
734	886	319
735	887	318
736	888	316
737	889	315
738	890	314
739	891	313
740	892	311
741	893	310
742	893	309
743	894	307
744	895	306
745	896	305
746	897	303
747	898	302
748	899	301
749	900	300
750	901	299
751	902	297
752	903	296
753	904	295
754	905	293
755	906	292
756	907	291
757	908	290
758	909	288
759	910	287
760	911	286
761	912	284
762	913	283
763	914	282
764	915	281
765	916	279
766	917	278
767	917	277
768	918	275
769	919	274
770	920	273
771	921	272
772	922	270
773	923	269
774	924	268
775	925	267
776	926	265
777	927	264
778	928	263
779	929	262
780	930	260
781	931	259
782	931	258
783	932	257
784	933	255
785	934	254
786	935	253
787	936	251
788	937	250
789	938	249
790	938	248
791	939	246
792	940	245
793	941	244
794	942	242
795	943	241
796	944	240
797	945	239
798	945	237
799	946	236
800	947	235
801	948	234
802	949	232
803	949	231
804	950	230
805	951	229
806	952	227
807	953	226
808	954	225
809	955	224
810	956	222
811	957	221
812	957	220
813	958	219
814	959	217
815	960	216
816	961	215
817	962	214
818	963	212
819	964	211
820	965	210
821	966	209
822	967	208
823	968	206
824	969	205
825	970	204
826	970	203
827	971	201
828	972	200
829	974	199
830	975	198
831	976	197
832	977	195
833	977	194
834	978	193
835	979	192
836	980	191
837	981	189
838	982	188
839	983	187
840	984	186
841	985	184
842	986	183
843	987	182
844	988	181
845	989	180
846	990	178
847	991	177
848	992	176
849	993	175
850	993	174
851	994	172
852	995	171
853	996	170
854	997	169
855	998	167
856	999	166
857	1000	165
858	1001	164
859	1002	163
860	1003	161
861	1004	160
862	1005	159
863	1006	158
864	1007	157
865	1008	156
866	1009	154
867	1010	153
868	1011	152
869	1012	151
870	1013	150
871	1014	148
872	1015	147
873	1016	146
874	1017	145
875	1018	144
876	1020	143
877	1021	141
878	1022	140
879	1023	139
880	1023	138
881	1024	137
882	1025	135
883	1026	134
884	1027	133
885	1028	132
886	1029	131
887	1030	129
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1041	116
899	1042	115
900	1043	114
901	1044	113
902	1044	112
903	1045	111
904	1046	109
905	1047	108
906	1048	107
907	1049	106
908	1050	105
909	1051	104
910	1053	102
911	1054	101
912	1055	100
913	1056	99
914	1057	98
915	1058	97
916	1059	95
917	1060	94
918	1061	93
919	1063	92
920	1064	91
921	1066	90
922	1067	89
923	1068	87
924	1069	86
925	1070	85
926	1071	84
927	1072	83
928	1074	82
929	1075	80
930	1076	79
931	1077	78
932	1078	77
933	1079	76
934	1080	75
935	1081	73
936	1082	72
937	1083	71
